msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
me pase estudiando toda noche dos examenes como nunca  llueve  fue no estudio nunca mas \U0001f602 ;1;me pas estudi tod noch dos examen com nunc lluev fue no estudi nunc mas \u0001f602;me pase estudiando toda noche do examene como nunca llueve fue no estudio nunca mas \u0001f602;me pase estudiando toda noche dos examenes como nunca llueve fue no estudio nunca mas  ;                              \U0001f602
 buen dia amigos haciendo referencia comentarios inundacion algunos sequia todos ;0;buen dia amig hac referent comentari inundacion algun sequi tod;buen dia amigo haciendo referencia comentario inundacion alguno sequia todo;buen dia amigos haciendo referencia comentarios inundacion algunos sequia todos;                   
que manija estoy loco  mas vale lluvia no cague ;0;que manij estoy loc mas val lluvi no cag;que manija estoy loco mas vale lluvia no cague;que manija estoy loco mas vale lluvia no cague;                 
yo vi noche sola tormenta  \U0001f644  ;0;yo vi noch sol torment \u0001f644;yo vi noche sola tormenta \u0001f644;yo vi noche sola tormenta  ;          \U0001f644
lunes encima llueve igual dia mierda ;1;lun encim lluev igual dia mierd;lune encima llueve igual dia mierda;lunes encima llueve igual dia mierda;           
cuando va ser dia mis compañeros no fijen ventana cuando llueve ;0;cuand va ser dia mis compañer no fij ventan cuand lluev;cuando va ser dia mi compañero no fijen ventana cuando llueve;cuando va ser dia mis compañeros no fijen ventana cuando llueve;                     
si   llueve pego tiro  no puedo faltar tanto escuela \U0001f602 ;0;si lluev peg tir no pued falt tant escuel \u0001f602;si llueve pego tiro no puedo faltar tanto escuela \u0001f602;si llueve pego tiro no puedo faltar tanto escuela  ;                  \U0001f602
 tormenta electrica hecha infarto ;1;torment electr hech infart;tormenta electrica hecha infarto;tormenta electrica hecha infarto;       
nada mas lindo tomar mates con amigos hablar vida mientras llueve   ;1;nad mas lind tom mat con amig habl vid mientr lluev;nada mas lindo tomar mate con amigo hablar vida mientra llueve;nada mas lindo tomar mates con amigos hablar vida mientras llueve;                     
 dejo lluvia quiero buena excusa  \U0001f611 ;0;dej lluvi quier buen excus \u0001f611;dejo lluvia quiero buena excusa \u0001f611;dejo lluvia quiero buena excusa  ;          \U0001f611
  esperemos si     igual necesitariamos muchas lluvias  algo algo  ;0;esper si igual necesitari much lluvi algo algo;esperemo si igual necesitariamo mucha lluvia algo algo;esperemos si igual necesitariamos muchas lluvias algo algo;               
vos  lluvia  ventilador   combinacion perfecta \u2764 ;1;vos lluvi ventil combinacion perfect \u2764;vo lluvia ventilador combinacion perfecta \u2764;vos lluvia ventilador combinacion perfecta  ;          \u2764
tormenta esquivada  \U0001f609 cordoba  argentina  ;0;torment esquiv \u0001f609 cordob argentin;tormenta esquivada \u0001f609 cordoba argentina;tormenta esquivada   cordoba argentina;    \U0001f609    
el verdadero liberal despierta con sonido ar     desayuna cocaina  jack daniels tocino  recolecta agua lluvia libre impuestos  alimenta casa energia solar  cultiva marihuana  tiene banderas gadsden lgbt tatuadas nalgas ;0;el verdader liberal despiert con son ar desayun cocain jack daniels tocin recolect agu lluvi libr impuest aliment cas energi sol cultiv marihuan tien bander gadsd lgbt tatu nalg;el verdadero liberal despierta con sonido ar desayuna cocaina jack daniel tocino recolecta agua lluvia libre impuesto alimenta casa energia solar cultiva marihuana tiene bandera gadsden lgbt tatuada nalga;el verdadero liberal despierta con sonido ar desayuna cocaina jack daniels tocino recolecta agua lluvia libre impuestos alimenta casa energia solar cultiva marihuana tiene banderas gadsden lgbt tatuadas nalgas;                                                         
nunca mas lluvia ;0;nunc mas lluvi;nunca mas lluvia;nunca mas lluvia;     
me desperto lluvia  ;1;me despert lluvi;me desperto lluvia;me desperto lluvia;     
que linda lluvia  \U0001f60d ;1;que lind lluvi \u0001f60d;que linda lluvia \u0001f60d;que linda lluvia  ;      \U0001f60d
adonde vieron esa tal lluvia estrellas  yo mire cielo cayo gota ;0;adond vieron esa tal lluvi estrell yo mir ciel cay got;adonde vieron esa tal lluvia estrella yo mire cielo cayo gota;adonde vieron esa tal lluvia estrellas yo mire cielo cayo gota;                     
no truenos no  \U0001f64f \U0001f3fc \U0001f616 \U0001f62d ;1;no truen no \u0001f64f \u0001f3fc \u0001f616 \u0001f62d;no trueno no \u0001f64f \u0001f3fc \u0001f616 \u0001f62d;no truenos no        ;      \U0001f64f \U0001f3fc \U0001f616 \U0001f62d
 rayos ;0;ray;rayo;rayos; 
 ahora ciudad mas hermosa  todos  mas libre con mas linda gente    cae muy fina lluvia    manejar con cuidado piso resbaladizo   ;0;ahor ciud mas hermos tod mas libr con mas lind gent cae muy fin lluvi manej con cuid pis resbaladiz;ahora ciudad mas hermosa todo mas libre con mas linda gente cae muy fina lluvia manejar con cuidado piso resbaladizo;ahora ciudad mas hermosa todos mas libre con mas linda gente cae muy fina lluvia manejar con cuidado piso resbaladizo;                                       
ojala algun dia supere miedo tormentas \U0001f62a ;0;ojal algun dia super mied torment \u0001f62;ojala algun dia supere miedo tormenta \u0001f62a;ojala algun dia supere miedo tormentas  ;            \U0001f62a
se busca acompañante ver  lluvia estrellas  mañana    ;0;se busc acompañ ver lluvi estrell mañan;se busca acompañante ver lluvia estrella mañana;se busca acompañante ver lluvia estrellas mañana;             
   pero cosecharon fue lluvia   ;0;per cosech fue lluvi;pero cosecharon fue lluvia;pero cosecharon fue lluvia;       
con     kg helado lluvia  yo feliz  \U0001f495 ;1;con kg hel lluvi yo feliz \u0001f495;con kg helado lluvia yo feliz \u0001f495;con kg helado lluvia yo feliz  ;            \U0001f495
  so verga  decia lluvia buenos aires ;0;so verg deci lluvi buen air;so verga decia lluvia bueno aire;so verga decia lluvia buenos aires;           
la gran pileta hicieron estos dirigentes tiro ahi  encima enoja porque tiene pagar unos mangos disfrutarla  algunos piensan club llueve plata sueldos todos empleados mantener semejante estructura gratis  ;0;la gran pilet hic estos dirigent tir ahi encim enoj porqu tien pag unos mang disfrut algun piens club lluev plat sueld tod emple manten semej estructur gratis;la gran pileta hicieron esto dirigente tiro ahi encima enoja porque tiene pagar uno mango disfrutarla alguno piensan club llueve plata sueldo todo empleado mantener semejante estructura grati;la gran pileta hicieron estos dirigentes tiro ahi encima enoja porque tiene pagar unos mangos disfrutarla algunos piensan club llueve plata sueldos todos empleados mantener semejante estructura gratis;                                                       
que lindo dormir con ventana abierta hora mirar tormenta   \U0001f64c \U0001f5a4 ;1;que lind dorm con ventan abiert hor mir torment \u0001f64c \u0001f5a4;que lindo dormir con ventana abierta hora mirar tormenta \u0001f64c \u0001f5a4;que lindo dormir con ventana abierta hora mirar tormenta    ;                  \U0001f64c \U0001f5a4
 hospital pasteur villa maria   cordoba pocos años ser inaugurado  colapso tormenta     corrupcion deja estas consecuencias  ;0;hospital pasteur vill mari cordob poc años ser inaugur colaps torment corrupcion dej estas consecuent;hospital pasteur villa maria cordoba poco año ser inaugurado colapso tormenta corrupcion deja esta consecuencia;hospital pasteur villa maria cordoba pocos años ser inaugurado colapso tormenta corrupcion deja estas consecuencias;                             
 ruta     medio tormenta  viento saco auto ruta volco     gt  lee nota completa     gt    ;0;rut medi torment vient sac aut rut volc gt lee not complet gt;ruta medio tormenta viento saco auto ruta volco gt lee nota completa gt;ruta medio tormenta viento saco auto ruta volco gt lee nota completa gt;                         
que linda lluvia dormir hasta        \U0001f634 ;1;que lind lluvi dorm hast \u0001f634;que linda lluvia dormir hasta \u0001f634;que linda lluvia dormir hasta  ;          \U0001f634
es fija cuando decido tomar sol llueve vida lpm ;0;es fij cuand dec tom sol lluev vid lpm;e fija cuando decido tomar sol llueve vida lpm;es fija cuando decido tomar sol llueve vida lpm;                 
pinto partido debajo lluvia cancha llena barro ;0;pint part debaj lluvi canch llen barr;pinto partido debajo lluvia cancha llena barro;pinto partido debajo lluvia cancha llena barro;             
odio viajar con tormenta  miedosa \U0001f926 \u200d \u2640  \U0001f62b ;0;odi viaj con torment miedos \u0001f926 \u200d \u2640 \u0001f62b;odio viajar con tormenta miedosa \u0001f926 \u200d \u2640 \u0001f62b;odio viajar con tormenta miedosa        ;          \U0001f926 \u200d \u2640 \U0001f62b
cada vez lavo moto llueve  eso significa no tengo lavar mas ;0;cad vez lav mot lluev eso signif no teng lav mas;cada vez lavo moto llueve eso significa no tengo lavar mas;cada vez lavo moto llueve eso significa no tengo lavar mas;                     
odio estar sola cuando hay tormenta miedo ;0;odi estar sol cuand hay torment mied;odio estar sola cuando hay tormenta miedo;odio estar sola cuando hay tormenta miedo;             
lo peor enfermo con sarna   traje calle  nada descubri tiene miedo truenos  \U0001f62d pero aislamiento hasta mejore ;0;lo peor enferm con sarn traj call nad descubri tien mied truen \u0001f62d per aislamient hast mejor;lo peor enfermo con sarna traje calle nada descubri tiene miedo trueno \u0001f62d pero aislamiento hasta mejore;lo peor enfermo con sarna traje calle nada descubri tiene miedo truenos   pero aislamiento hasta mejore;                        \U0001f62d        
porque tienen caer esos rayos \U0001f62d \U0001f62c ;1;porqu tien caer esos ray \u0001f62d \u0001f62c;porque tienen caer eso rayo \u0001f62d \u0001f62c;porque tienen caer esos rayos    ;          \U0001f62d \U0001f62c
yo sabia lluvia piedras  ;0;yo sabi lluvi piedr;yo sabia lluvia piedra;yo sabia lluvia piedras;       
odio dias tormenta fuerte lluvia no gusta dormir sola voy tener    años voy seguir necesitando queden dormir con migo tengo miedo  \U0001f611 ;0;odi dias torment fuert lluvi no gust dorm sol voy ten años voy segu necesit qued dorm con mig teng mied \u0001f611;odio dia tormenta fuerte lluvia no gusta dormir sola voy tener año voy seguir necesitando queden dormir con migo tengo miedo \u0001f611;odio dias tormenta fuerte lluvia no gusta dormir sola voy tener años voy seguir necesitando queden dormir con migo tengo miedo  ;                                          \U0001f611
no supero miedo wily anoche tormenta  bebe mas ;0;no super mied wily anoch torment beb mas;no supero miedo wily anoche tormenta bebe mas;no supero miedo wily anoche tormenta bebe mas;               
que lindo juntarme con todos mis amigos   caricia  \u2764 mas tormentas    \U0001f606 igual si  ;0;que lind junt con tod mis amig carici \u2764 mas torment \u0001f606 igual si;que lindo juntarme con todo mi amigo caricia \u2764 mas tormenta \u0001f606 igual si;que lindo juntarme con todos mis amigos caricia   mas tormentas   igual si;                \u2764     \U0001f606    
siempre quedo mal escena porque homero no ve lluvia rosquillas  ;0;siempr qued mal escen porqu homer no ve lluvi rosquill;siempre quedo mal escena porque homero no ve lluvia rosquilla;siempre quedo mal escena porque homero no ve lluvia rosquillas;                   
 escuchaste ese rayo  casi caigo cama  ;1;escuch ese ray casi caig cam;escuchaste ese rayo casi caigo cama;escuchaste ese rayo casi caigo cama;           
lluvia caida fin semana continua          ;0;lluvi caid fin seman continu;lluvia caida fin semana continua;lluvia caida fin semana continua;         
continuan llegando imagenes lluvias caidas  caminos consorcio caminero        san antonio yucat   afronta mas     milimetros caidos menos dos dias   ;0;continu lleg imagen lluvi caid camin consorci caminer san antoni yucat afront mas milimetr caid men dos dias;continuan llegando imagene lluvia caida camino consorcio caminero san antonio yucat afronta mas milimetro caido meno do dia;continuan llegando imagenes lluvias caidas caminos consorcio caminero san antonio yucat afronta mas milimetros caidos menos dos dias;                                   
el clima miramar como permite todos planes distribuye semana  onda    miercoles lava ropa anda playa    \  grados  jueves llueve hace frio  estudia mira netflix  no salgas casa  llenate comida asi con demas dias   \U0001f602 \U0001f602 ;0;el clim miram com permit tod plan distribu seman onda miercol lav rop anda play \ grad juev lluev hac fri estudi mir netflix no salg cas llenat com asi con dem dias \u0001f602 \u0001f602;el clima miramar como permite todo plane distribuye semana onda miercole lava ropa anda playa \ grado jueve llueve hace frio estudia mira netflix no salga casa llenate comida asi con dema dia \u0001f602 \u0001f602;el clima miramar como permite todos planes distribuye semana onda miercoles lava ropa anda playa \ grados jueves llueve hace frio estudia mira netflix no salgas casa llenate comida asi con demas dias    ;                                                                  \U0001f602 \U0001f602
que paso con viento fresco hermosa tormenta   ;0;que pas con vient fresc hermos torment;que paso con viento fresco hermosa tormenta;que paso con viento fresco hermosa tormenta;             
por veo llueve nuevo  ;0;por veo lluev nuev;por veo llueve nuevo;por veo llueve nuevo;       
se imaginan final champions mundial suspendida lluvia  ja impresentables  ;0;se imagin final champions mundial suspend lluvi ja impresent;se imaginan final champion mundial suspendida lluvia ja impresentable;se imaginan final champions mundial suspendida lluvia ja impresentables;                 
hoy quiero girar tengo manija hacer algo lluvia corta mambo puta ;1;hoy quier gir teng manij hac algo lluvi cort mamb put;hoy quiero girar tengo manija hacer algo lluvia corta mambo puta;hoy quiero girar tengo manija hacer algo lluvia corta mambo puta;                     
acaba caer rayo lado ventana  dejo parecerme hermoso todo esto  ver si bajamos cambio  \U0001f917 \U0001f917 \U0001f917 \U0001f643 ;1;acab caer ray lad ventan dej parec hermos tod esto ver si baj cambi \u0001f917 \u0001f917 \u0001f917 \u0001f643;acaba caer rayo lado ventana dejo parecerme hermoso todo esto ver si bajamo cambio \u0001f917 \u0001f917 \u0001f917 \u0001f643;acaba caer rayo lado ventana dejo parecerme hermoso todo esto ver si bajamos cambio        ;                            \U0001f917 \U0001f917 \U0001f917 \U0001f643
 como siempre cada vez llueve destaparon vecinos  aca no paso nadie municipalidad  ;0;com siempr cad vez lluev destap vecin aca no pas nadi municipal;como siempre cada vez llueve destaparon vecino aca no paso nadie municipalidad;como siempre cada vez llueve destaparon vecinos aca no paso nadie municipalidad;                       
oroño san lorenzo  todo inundado  hasta cuando         ;0;oroñ san lorenz tod inund hast cuand;oroño san lorenzo todo inundado hasta cuando;oroño san lorenzo todo inundado hasta cuando;             
empezo semana dije voy tomar sol asi estoy bronceada fiestas   dias seguidos nublados con lluvia ;0;empez seman dij voy tom sol asi estoy bronc fiest dias segu nubl con lluvi;empezo semana dije voy tomar sol asi estoy bronceada fiesta dia seguido nublado con lluvia;empezo semana dije voy tomar sol asi estoy bronceada fiestas dias seguidos nublados con lluvia;                             
basta lluvia ;1;bast lluvi;basta lluvia;basta lluvia;   
si mañana mañana no llueve mato ;0;si mañan mañan no lluev mat;si mañana mañana no llueve mato;si mañana mañana no llueve mato;           
esta enredar piernas con lluvia  \U0001f602 \U0001f602 ;1;esta enred piern con lluvi \u0001f602 \u0001f602;esta enredar pierna con lluvia \u0001f602 \u0001f602;esta enredar piernas con lluvia    ;          \U0001f602 \U0001f602
 aca llueve con toda invito dormir ;1;aca lluev con tod invit dorm;aca llueve con toda invito dormir;aca llueve con toda invito dormir;           
estaba soñando jefe habia mandado wapp no fuera lluvia no iba haber nadie centro   despierto tenia wapp diciendo eso  \U0001f44f \U0001f44f ;1;estab soñ jef habi mand wapp no fuer lluvi no iba hab nadi centr despiert teni wapp dic eso \u0001f44f \u0001f44f;estaba soñando jefe habia mandado wapp no fuera lluvia no iba haber nadie centro despierto tenia wapp diciendo eso \u0001f44f \u0001f44f;estaba soñando jefe habia mandado wapp no fuera lluvia no iba haber nadie centro despierto tenia wapp diciendo eso    ;                                      \U0001f44f \U0001f44f
solo espero tormenta sea pasajera ;1;sol esper torment sea pasajer;solo espero tormenta sea pasajera;solo espero tormenta sea pasajera;         
la primera vez lluvia favorece \u2665 ;1;la primer vez lluvi favorec \u2665;la primera vez lluvia favorece \u2665;la primera vez lluvia favorece  ;          \u2665
derrumbes vivienda lluvias   san luis opina  ;1;derrumb viviend lluvi san luis opin;derrumbe vivienda lluvia san lui opina;derrumbes vivienda lluvias san luis opina;           
que hermosura dormir con lluvia  \U0001f60d ;1;que hermosur dorm con lluvi \u0001f60d;que hermosura dormir con lluvia \u0001f60d;que hermosura dormir con lluvia  ;          \U0001f60d
proyecto relampago   tiempo silvina  ;0;proyect relampag tiemp silvin;proyecto relampago tiempo silvina;proyecto relampago tiempo silvina;       
decir  lluvia caida  redundancia  no agradezcan  sigan con suyo   habla bien  callate  decime algo  que decis  chamullo ;0;dec lluvi caid redund no agradezc sig con suy habl bien callat decim algo que decis chamull;decir lluvia caida redundancia no agradezcan sigan con suyo habla bien callate decime algo que deci chamullo;decir lluvia caida redundancia no agradezcan sigan con suyo habla bien callate decime algo que decis chamullo;                                 
llueve cae sistema  primer mundo  ;0;lluev cae sistem prim mund;llueve cae sistema primer mundo;llueve cae sistema primer mundo;         
donde lluvia concha yuta ;0;dond lluvi conch yut;donde lluvia concha yuta;donde lluvia concha yuta;       
linda lluvia escuchar cerati fumarse pucho ;1;lind lluvi escuch cerati fum puch;linda lluvia escuchar cerati fumarse pucho;linda lluvia escuchar cerati fumarse pucho;           
que paz caminar bajo lluvia poder desconectarse mundo unos segundos   ;1;que paz camin baj lluvi pod desconect mund unos segund;que paz caminar bajo lluvia poder desconectarse mundo uno segundo;que paz caminar bajo lluvia poder desconectarse mundo unos segundos;                   
tome    minutos sol  nublo viene tormenta  sal manejo increible   universo quiere sea casper  \U0001f47b ;0;tom minut sol nubl vien torment sal manej increibl univers quier sea casp \u0001f47b;tome minuto sol nublo viene tormenta sal manejo increible universo quiere sea casper \u0001f47b;tome minutos sol nublo viene tormenta sal manejo increible universo quiere sea casper  ;                          \U0001f47b
 piensan cordobeses hoy macri   heladera mata relato amarillo    abran aprendido  rayo ariana teatro colon  thankunextvideo ariana grande  g  summit     colon  fuerag  fmi ;0;piens cordobes hoy macri helader mat relat amarill abran aprend ray arian teatr colon thankunextvide arian grand g summit colon fuerag fmi;piensan cordobese hoy macri heladera mata relato amarillo abran aprendido rayo ariana teatro colon thankunextvideo ariana grande g summit colon fuerag fmi;piensan cordobeses hoy macri heladera mata relato amarillo abran aprendido rayo ariana teatro colon thankunextvideo ariana grande g summit colon fuerag fmi;                                           
avisos corto plazo tormentas fuertes con rafagas ocasional caida granizo  zonas  cordoba  calamuchita   colon   cruz eje   pocho   punilla   rio cuarto   san alberto   san javier   santa maria  san luis  chacabuco   junin  fecha emision                 hs  ;0;avis cort plaz torment fuert con rafag ocasional caid graniz zon cordob calamuchit colon cruz eje poch punill rio cuart san albert san javi sant mari san luis chacabuc junin fech emision hs;aviso corto plazo tormenta fuerte con rafaga ocasional caida granizo zona cordoba calamuchita colon cruz eje pocho punilla rio cuarto san alberto san javier santa maria san lui chacabuco junin fecha emision h;avisos corto plazo tormentas fuertes con rafagas ocasional caida granizo zonas cordoba calamuchita colon cruz eje pocho punilla rio cuarto san alberto san javier santa maria san luis chacabuco junin fecha emision hs;                                                                 
 quien pudiera ser lluvia  \U0001f61c ;0;qui pud ser lluvi \u0001f61c;quien pudiera ser lluvia \u0001f61c;quien pudiera ser lluvia  ;        \U0001f61c
saben por que llueve  ocurrio ir dos medicos juntos hoy    nunca visto ;1;sab por que lluev ocurri ir dos medic junt hoy nunc vist;saben por que llueve ocurrio ir do medico junto hoy nunca visto;saben por que llueve ocurrio ir dos medicos juntos hoy nunca visto;                       
 hasta cuando tormentas rosario  mauricio    ;0;hast cuand torment rosari maurici;hasta cuando tormenta rosario mauricio;hasta cuando tormentas rosario mauricio;         
promo    dj boni  franco luna  lluvia nunca llego  noche perfecta moroquear  ;0;prom dj boni franc lun lluvi nunc lleg noch perfect moroqu;promo dj boni franco luna lluvia nunca llego noche perfecta moroquear;promo dj boni franco luna lluvia nunca llego noche perfecta moroquear;                     
no tengo registro haber estudiado con lluvia  siempre hay sol raja tierra  ;0;no teng registr hab estudi con lluvi siempr hay sol raj tierr;no tengo registro haber estudiado con lluvia siempre hay sol raja tierra;no tengo registro haber estudiado con lluvia siempre hay sol raja tierra;                       
lluvia soleado   \u2014 lluvia mil veces  ;0;lluvi sol \u2014 lluvi mil vec;lluvia soleado \u2014 lluvia mil vece;lluvia soleado   lluvia mil veces;    \u2014      
se corto luz  tengo     hace calor lpm no puedo abrir ventana porque llueve  ustedes bien  ;1;se cort luz teng hac calor lpm no pued abrir ventan porqu lluev usted bien;se corto luz tengo hace calor lpm no puedo abrir ventana porque llueve ustede bien;se corto luz tengo hace calor lpm no puedo abrir ventana porque llueve ustedes bien;                             
lpm malditos truenos          \U0001f62d \U0001f62d ;1;lpm maldit truen \u0001f62d \u0001f62d;lpm maldito trueno \u0001f62d \u0001f62d;lpm malditos truenos    ;      \U0001f62d \U0001f62d
estos dias lluvia hacen querer tener alguien con quien conchear ;0;estos dias lluvi hac quer ten algui con qui conch;esto dia lluvia hacen querer tener alguien con quien conchear;estos dias lluvia hacen querer tener alguien con quien conchear;                   
escucharon mismo yo  maldita lluvia tengo miedo ;1;escuch mism yo maldit lluvi teng mied;escucharon mismo yo maldita lluvia tengo miedo;escucharon mismo yo maldita lluvia tengo miedo;             
lluvia amo eso no mas ;1;lluvi amo eso no mas;lluvia amo eso no mas;lluvia amo eso no mas;         
 ya todo inundado ;1;ya tod inund;ya todo inundado;ya todo inundado;     
   \U0001f602 \U0001f602 \U0001f602 \U0001f602 \U0001f602 estaba esperando pare lluvia eso cuenta  ;0;\u0001f602 \u0001f602 \u0001f602 \u0001f602 \u0001f602 estab esper par lluvi eso cuent;\u0001f602 \u0001f602 \u0001f602 \u0001f602 \u0001f602 estaba esperando pare lluvia eso cuenta;          estaba esperando pare lluvia eso cuenta;\U0001f602 \U0001f602 \U0001f602 \U0001f602 \U0001f602            
bueno  hacia años no veia tormenta como  empezar  llueve lado contrario donde llueve siempre ;1;buen haci años no vei torment com empez lluev lad contrari dond lluev siempr;bueno hacia año no veia tormenta como empezar llueve lado contrario donde llueve siempre;bueno hacia años no veia tormenta como empezar llueve lado contrario donde llueve siempre;                           
explicame parte primero llueve despues hace calor infernal  ;0;explicam part primer lluev despu hac calor infernal;explicame parte primero llueve despue hace calor infernal;explicame parte primero llueve despues hace calor infernal;               
 mal  ya fue lluvia  \U0001f614 ;0;mal ya fue lluvi \u0001f614;mal ya fue lluvia \u0001f614;mal ya fue lluvia  ;        \U0001f614
que lindo jugar bajo lluvia \u26bd  \U0001f60d \U0001f60d \U0001f60d ;1;que lind jug baj lluvi \u26bd \u0001f60d \u0001f60d \u0001f60d;que lindo jugar bajo lluvia \u26bd \u0001f60d \u0001f60d \u0001f60d;que lindo jugar bajo lluvia        ;          \u26bd \U0001f60d \U0001f60d \U0001f60d
los dias lluvia encanta sentarme mirar ventana mientras doy manija con cosas no puedo solucionar    ;0;los dias lluvi encant sent mir ventan mientr doy manij con cos no pued solucion;lo dia lluvia encanta sentarme mirar ventana mientra doy manija con cosa no puedo solucionar;los dias lluvia encanta sentarme mirar ventana mientras doy manija con cosas no puedo solucionar;                             
 trabajar albañil rayo sol  no querias saberlo pero bueno ;0;trabaj albañil ray sol no queri sab per buen;trabajar albañil rayo sol no queria saberlo pero bueno;trabajar albañil rayo sol no querias saberlo pero bueno;                 
granos gruesos  lluvias abundantes llevarian resembrar segun bcr  muchos productores deberan volver empezar luego intensas precipitaciones  estima fenomeno podria haber generado perdidas u    millones hectarea  lee aca  \u27a8   ;0;gran grues lluvi abund llevari resembr segun bcr much productor deber volv empez lueg intens precipit estim fenomen podri hab gener perd u millon hectare lee aca \u27a8;grano grueso lluvia abundante llevarian resembrar segun bcr mucho productore deberan volver empezar luego intensa precipitacione estima fenomeno podria haber generado perdida u millone hectarea lee aca \u27a8;granos gruesos lluvias abundantes llevarian resembrar segun bcr muchos productores deberan volver empezar luego intensas precipitaciones estima fenomeno podria haber generado perdidas u millones hectarea lee aca  ;                                                      \u27a8
  cuadra cuidas  asi mojo cn auto dia lluvia ;0;cuadr cuid asi moj cn aut dia lluvi;cuadra cuida asi mojo cn auto dia lluvia;cuadra cuidas asi mojo cn auto dia lluvia;               
habia tormenta ahora salio sol ni yo llegue ser tan bipolar asi ;0;habi torment ahor sali sol ni yo lleg ser tan bipol asi;habia tormenta ahora salio sol ni yo llegue ser tan bipolar asi;habia tormenta ahora salio sol ni yo llegue ser tan bipolar asi;                       
rico olor lluvia ;1;ric olor lluvi;rico olor lluvia;rico olor lluvia;     
estaria tan lindo ver lluvia estrellas rio \U0001f62d ;0;estari tan lind ver lluvi estrell rio \u0001f62d;estaria tan lindo ver lluvia estrella rio \u0001f62d;estaria tan lindo ver lluvia estrellas rio  ;              \U0001f62d
en   min tengo ingles aca estoy dando vueltas casa envuelta con toalla esperando caiga rayo no ir ;0;en min teng ingles aca estoy dand vuelt cas envuelt con toall esper caig ray no ir;en min tengo ingle aca estoy dando vuelta casa envuelta con toalla esperando caiga rayo no ir;en min tengo ingles aca estoy dando vueltas casa envuelta con toalla esperando caiga rayo no ir;                                 
que lluvia corta mambo ;1;que lluvi cort mamb;que lluvia corta mambo;que lluvia corta mambo;       
porque siempre llueve no tengo patagua ;1;porqu siempr lluev no teng patagu;porque siempre llueve no tengo patagua;porque siempre llueve no tengo patagua;           
ustedes sienten ese calor infernal con lluvia   tarde estamos todos reventados humedad  somos mas parecido amazonas ;1;usted sient ese calor infernal con lluvi tard estam tod revent humed som mas parec amazon;ustede sienten ese calor infernal con lluvia tarde estamo todo reventado humedad somo mas parecido amazona;ustedes sienten ese calor infernal con lluvia tarde estamos todos reventados humedad somos mas parecido amazonas;                               
que buena noticia   fue lluvia      ;0;que buen notici fue lluvi;que buena noticia fue lluvia;que buena noticia fue lluvia;         
sos linda porque miras con alma  porque bancas tormentas  porque no pierdes calma  linda porque no guardas nada  porque lloras con ganas porque sonries pavadas  linda porque vivis manera  metetelo cabeza  linda  magia  \u2728 ;0;sos lind porqu mir con alma porqu banc torment porqu no pierd calm lind porqu no guard nad porqu llor con gan porqu sonri pav lind porqu vivis maner metetel cabez lind magi \u2728;so linda porque mira con alma porque banca tormenta porque no pierde calma linda porque no guarda nada porque llora con gana porque sonrie pavada linda porque vivi manera metetelo cabeza linda magia \u2728;sos linda porque miras con alma porque bancas tormentas porque no pierdes calma linda porque no guardas nada porque lloras con ganas porque sonries pavadas linda porque vivis manera metetelo cabeza linda magia  ;                                                                  \u2728
 lluvia para cuando mentir echaron con eso  ;0;lluvi par cuand ment echaron con eso;lluvia para cuando mentir echaron con eso;lluvia para cuando mentir echaron con eso;             
pero problema donde  porque ya sabes pasa cuando llueve  \U0001f923 ;0;per problem dond porqu ya sab pas cuand lluev \u0001f923;pero problema donde porque ya sabe pasa cuando llueve \u0001f923;pero problema donde porque ya sabes pasa cuando llueve  ;                  \U0001f923
netflix  lluvia  helado   solo falta cosa  \U0001f914 ;1;netflix lluvi hel sol falt cos \u0001f914;netflix lluvia helado solo falta cosa \u0001f914;netflix lluvia helado solo falta cosa  ;            \U0001f914
 anuncian lluvias    \U0001f622 ;0;anunci lluvi \u0001f622;anuncian lluvia \u0001f622;anuncian lluvias  ;    \U0001f622
lluvia amo ;1;lluvi amo;lluvia amo;lluvia amo;   
estaba twittear algo normal como todos  hasta pum  lluvia cajetas cayendo grupo whatsapp   tipos culiados ;0;estab twitt algo normal com tod hast pum lluvi cajet cayend grup whatsapp tip culi;estaba twittear algo normal como todo hasta pum lluvia cajeta cayendo grupo whatsapp tipo culiado;estaba twittear algo normal como todos hasta pum lluvia cajetas cayendo grupo whatsapp tipos culiados;                             
colectividades lluvia  solo corazon  ;0;colect lluvi sol corazon;colectividade lluvia solo corazon;colectividades lluvia solo corazon;       
amo lluvia  pero peor enemigo laburante  como gobierno derecha mental  ;1;amo lluvi per peor enemig labur com gobiern derech mental;amo lluvia pero peor enemigo laburante como gobierno derecha mental;amo lluvia pero peor enemigo laburante como gobierno derecha mental;                   
altos rayos estan cayendo ahora si miedo mabel ;1;altos ray estan cayend ahor si mied mabel;alto rayo estan cayendo ahora si miedo mabel;altos rayos estan cayendo ahora si miedo mabel;               
si hoy no llueve mato ;0;si hoy no lluev mat;si hoy no llueve mato;si hoy no llueve mato;         
entrar mas tarde salve lluvia sale mas bien ;0;entrar mas tard salv lluvi sal mas bien;entrar mas tarde salve lluvia sale mas bien;entrar mas tarde salve lluvia sale mas bien;               
